Node ID,Node Title,Centrality Authority/resource x resource,Centrality Betweenness/resource x resource,Centrality Betweenness/resource x resource/[unscaled],Clique Count/resource x resource,Centrality Closeness/resource x resource,Centrality Closeness/resource x resource/[unscaled],Density Clustering Coefficient/resource x resource,Centrality Eigenvector/resource x resource,Centrality Eigenvector/resource x resource/[unscaled],Centrality Eigenvector Per Component/resource x resource,Centrality Hub/resource x resource,Centrality In-Closeness/resource x resource,Centrality In-Closeness/resource x resource/[unscaled],Centrality In Degree/resource x resource,Centrality In Degree/resource x resource/[unscaled],Centrality Information/resource x resource,Centrality Information/resource x resource/[unscaled],Centrality Inverse Closeness/resource x resource,Centrality Inverse Closeness/resource x resource/[unscaled],Centrality Out Degree/resource x resource,Centrality Out Degree/resource x resource/[unscaled],Simmelian Ties/resource x resource,Simmelian Ties/resource x resource/[unscaled],Centrality Total Degree/resource x resource,Centrality Total Degree/resource x resource/[unscaled],Component Members Weak/resource x resource,
40,anoldsoul.blogspot.com,0.0434,0.0032,7102.2476,2918.0000,0.0019,0.0000,0.2291,0.1166,0.0825,0.0676,0.1509,0.0021,0.0000,0.0174,26.0000,0.0014,3.7856,0.2794,415.9997,0.0591,88.0000,0.0107,16.0000,0.0383,114.0000,1.0000,
41,anonymoussources.blogspot.com,0.0029,0.0000,43.0967,5.0000,0.0019,0.0000,0.2500,0.0081,0.0057,0.0047,0.0076,0.0021,0.0000,0.0013,2.0000,0.0009,2.2986,0.2127,316.7156,0.0040,6.0000,0.0013,2.0000,0.0027,8.0000,1.0000,
42,answerguy.blogspot.com,0.0052,0.0000,25.5231,18.0000,0.0019,0.0000,0.3511,0.0235,0.0166,0.0136,0.0332,0.0021,0.0000,0.0034,5.0000,0.0011,2.8353,0.2157,321.1751,0.0067,10.0000,0.0000,0.0000,0.0050,15.0000,1.0000,
43,anybodybutbushyall.blogspot.com,0.0000,0.0000,0.0000,1.0000,0.0019,0.0000,0.1250,0.0051,0.0036,0.0030,0.0093,0.0007,0.0000,0.0000,0.0000,0.0007,1.9895,0.1989,296.2270,0.0027,4.0000,0.0000,0.0000,0.0013,4.0000,1.0000,
44,anywhichway.net,0.0007,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0005,0.0003,0.0003,0.0000,0.0021,0.0000,0.0007,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.0000,1.0000,
45,arancaytar.blogspot.com,0.0070,0.0005,1025.2849,4.0000,0.0019,0.0000,0.1224,0.0049,0.0035,0.0029,0.0019,0.0021,0.0000,0.0027,4.0000,0.0006,1.7064,0.1404,209.0394,0.0020,3.0000,0.0000,0.0000,0.0023,7.0000,1.0000,
46,archpundit.com,0.0327,0.0010,2132.2571,925.0000,0.0019,0.0000,0.2513,0.0875,0.0618,0.0507,0.1155,0.0021,0.0000,0.0141,21.0000,0.0014,3.6791,0.2465,367.0661,0.0356,53.0000,0.0040,6.0000,0.0248,74.0000,1.0000,
47,arkansastonight.com,0.0034,0.0000,0.0000,1.0000,0.0019,0.0000,0.3333,0.0050,0.0036,0.0029,0.0045,0.0021,0.0000,0.0013,2.0000,0.0003,0.7982,0.1753,261.0607,0.0007,1.0000,0.0000,0.0000,0.0010,3.0000,1.0000,
48,asian-nation.org/headlines/index.php,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,
49,asiegeofherons.blogspot.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,
50,asilentrevolution.blogspot.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,
51,askhoudari.blogspot.com,0.0024,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0013,0.0009,0.0007,0.0000,0.0021,0.0000,0.0007,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.0000,1.0000,
52,astroturf.uni.cc,0.0015,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0008,0.0005,0.0005,0.0000,0.0021,0.0000,0.0007,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.0000,1.0000,
53,atease.blogspot.com,0.0069,0.0000,17.7583,5.0000,0.0019,0.0000,0.1563,0.0076,0.0054,0.0044,0.0065,0.0021,0.0000,0.0040,6.0000,0.0005,1.3286,0.1863,277.4438,0.0013,2.0000,0.0000,0.0000,0.0027,8.0000,1.0000,
54,atomicairship.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,
55,atrios.blogspot.com,0.3006,0.0411,90985.8672,26845.0000,0.0019,0.0000,0.0811,0.2270,0.1605,0.1317,0.1602,0.0021,0.0000,0.1765,263.0000,0.0014,3.7361,0.2752,409.7329,0.0584,87.0000,0.0463,69.0000,0.1175,350.0000,1.0000,
56,atrios.blogspot.com/,0.0000,0.0000,0.0000,4695.0000,0.0019,0.0000,0.2858,0.1187,0.0839,0.0688,0.1656,0.0007,0.0000,0.0000,0.0000,0.0014,3.7871,0.2758,410.7329,0.0591,88.0000,0.0000,0.0000,0.0295,88.0000,1.0000,
57,aurelientt.blogspot.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,
58,awards5.tripod.com/tarasblog,0.0000,0.0000,0.0000,2.0000,0.0019,0.0000,0.1250,0.0023,0.0016,0.0013,0.0028,0.0007,0.0000,0.0000,0.0000,0.0007,1.9898,0.2079,309.5771,0.0027,4.0000,0.0000,0.0000,0.0013,4.0000,1.0000,
59,b-patton.blogspot.com,0.0007,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0005,0.0003,0.0003,0.0000,0.0021,0.0000,0.0007,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.0000,1.0000,
60,babylon.squarespace.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,
61,badattitudes.com/mt,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,
62,bakshi.us/redskunk,0.0029,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0018,0.0013,0.0011,0.0000,0.0021,0.0000,0.0013,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,2.0000,1.0000,
63,barcidhomily.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,
64,barkingdingo.blogspot.com,0.0057,0.0000,6.3756,3.0000,0.0019,0.0000,0.0816,0.0055,0.0039,0.0032,0.0042,0.0021,0.0000,0.0027,4.0000,0.0006,1.7065,0.1634,243.2956,0.0020,3.0000,0.0000,0.0000,0.0023,7.0000,1.0000,
65,bartcop.com,0.0410,0.0005,1037.1929,58.0000,0.0019,0.0000,0.1427,0.0298,0.0211,0.0173,0.0006,0.0021,0.0000,0.0221,33.0000,0.0003,0.7756,0.1660,247.1442,0.0007,1.0000,0.0000,0.0000,0.0114,34.0000,1.0000,
66,battleground-wisconsin.blogspot.com,0.0000,0.0000,0.0000,0.0000,0.0019,0.0000,0.0000,0.0005,0.0004,0.0003,0.0010,0.0007,0.0000,0.0000,0.0000,0.0005,1.3287,0.1311,195.2168,0.0013,2.0000,0.0000,0.0000,0.0007,2.0000,1.0000,
67,battlegroundstates.blogspot.com,0.0023,0.0000,0.0000,1.0000,0.0007,0.0000,0.2500,0.0012,0.0009,0.0007,0.0000,0.0021,0.0000,0.0013,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,2.0000,1.0000,
68,beastsbelly.blogspot.com,0.0000,0.0000,0.0000,32.0000,0.0019,0.0000,0.1871,0.0293,0.0207,0.0170,0.0496,0.0007,0.0000,0.0000,0.0000,0.0013,3.3766,0.2221,330.7751,0.0154,23.0000,0.0000,0.0000,0.0077,23.0000,1.0000,
69,bentcorner.blogspot.com,0.0000,0.0000,0.0000,0.0000,0.0019,0.0000,0.0000,0.0035,0.0025,0.0021,0.0069,0.0007,0.0000,0.0000,0.0000,0.0005,1.3287,0.1542,229.6324,0.0013,2.0000,0.0000,0.0000,0.0007,2.0000,1.0000,
70,bettyblog.com,0.0000,0.0000,0.0000,16.0000,0.0019,0.0000,0.2870,0.0236,0.0167,0.0137,0.0353,0.0007,0.0000,0.0000,0.0000,0.0012,3.2443,0.2109,313.9749,0.0121,18.0000,0.0000,0.0000,0.0060,18.0000,1.0000,
71,bigbloosky.blogspot.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,
72,billmon.org,0.1349,0.0044,9853.7529,8792.0000,0.0019,0.0000,0.2162,0.1426,0.1008,0.0827,0.1411,0.0021,0.0000,0.0517,77.0000,0.0014,3.7373,0.2622,390.4826,0.0490,73.0000,0.0201,30.0000,0.0504,150.0000,1.0000,
73,billsrants.blogspot.com,0.0071,0.0000,27.5486,9.0000,0.0019,0.0000,0.3077,0.0199,0.0141,0.0116,0.0287,0.0021,0.0000,0.0027,4.0000,0.0011,2.9706,0.2146,319.4915,0.0081,12.0000,0.0013,2.0000,0.0054,16.0000,1.0000,
74,blackwingleftbird.blogspot.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,
75,blog.dccc.org,0.0691,0.0051,11262.9814,2448.0000,0.0019,0.0000,0.1904,0.1124,0.0794,0.0652,0.1362,0.0021,0.0000,0.0336,50.0000,0.0014,3.7480,0.2680,399.0994,0.0497,74.0000,0.0141,21.0000,0.0416,124.0000,1.0000,
76,blog.dennisfox.net,0.0027,0.0005,1025.2605,0.0000,0.0007,0.0000,0.0000,0.0019,0.0013,0.0011,0.0007,0.0021,0.0000,0.0007,1.0000,0.0005,1.3286,0.0013,2.0000,0.0013,2.0000,0.0000,0.0000,0.0010,3.0000,1.0000,
77,blog.glinka.com,0.0000,0.0000,0.0000,1.0000,0.0019,0.0000,0.5000,0.0048,0.0034,0.0028,0.0083,0.0007,0.0000,0.0000,0.0000,0.0005,1.3288,0.1712,254.9872,0.0013,2.0000,0.0000,0.0000,0.0007,2.0000,1.0000,
78,blog.johnkerry.com,0.0231,0.0000,0.0000,7.0000,0.0007,0.0000,0.0473,0.0134,0.0095,0.0078,0.0000,0.0022,0.0000,0.0154,23.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0077,23.0000,1.0000,
79,blog.kenlan.net,0.0030,0.0000,8.5744,5.0000,0.0019,0.0000,0.4700,0.0115,0.0081,0.0067,0.0124,0.0021,0.0000,0.0020,3.0000,0.0010,2.7442,0.2121,315.8655,0.0060,9.0000,0.0013,2.0000,0.0040,12.0000,1.0000,
80,blog.mintruth.com,0.0000,0.0000,0.0000,2.0000,0.0019,0.0000,0.0833,0.0058,0.0041,0.0033,0.0099,0.0007,0.0000,0.0000,0.0000,0.0009,2.3850,0.2313,344.3687,0.0040,6.0000,0.0000,0.0000,0.0020,6.0000,1.0000,
81,blog.veggiedude.com,0.0000,0.0006,1425.0812,2.0000,0.0019,0.0000,0.0833,0.0044,0.0031,0.0026,0.0066,0.0007,0.0000,0.0013,2.0000,0.0007,1.9899,0.1947,289.8578,0.0027,4.0000,0.0000,0.0000,0.0020,6.0000,1.0000,
82,blog01.kintera.com/dnccblog,0.0032,0.0016,3603.3960,90.0000,0.0019,0.0000,0.2243,0.0457,0.0323,0.0265,0.0654,0.0021,0.0000,0.0034,5.0000,0.0013,3.5737,0.2300,342.4420,0.0248,37.0000,0.0000,0.0000,0.0141,42.0000,1.0000,
83,blog01.kintera.com/emilysblog,0.0021,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0012,0.0008,0.0007,0.0000,0.0021,0.0000,0.0007,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.0000,1.0000,
84,bloganonymous.com,0.0000,0.0000,0.0000,2.0000,0.0019,0.0000,0.3265,0.0132,0.0093,0.0076,0.0224,0.0007,0.0000,0.0000,0.0000,0.0009,2.5283,0.1983,295.2747,0.0047,7.0000,0.0000,0.0000,0.0023,7.0000,1.0000,
85,blogforamerica.com,0.0684,0.0025,5461.8877,393.0000,0.0019,0.0000,0.1267,0.0615,0.0435,0.0357,0.0374,0.0021,0.0000,0.0383,57.0000,0.0012,3.1585,0.2042,304.0415,0.0107,16.0000,0.0027,4.0000,0.0245,73.0000,1.0000,
86,blogforarizona.com,0.0038,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0028,0.0020,0.0016,0.0000,0.0021,0.0000,0.0020,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,3.0000,1.0000,
87,blogfreeordie.blogspot.com,0.0052,0.0000,26.2055,5.0000,0.0019,0.0000,0.4380,0.0114,0.0080,0.0066,0.0130,0.0021,0.0000,0.0034,5.0000,0.0011,2.9000,0.2240,333.5250,0.0074,11.0000,0.0034,5.0000,0.0054,16.0000,1.0000,
88,blogitics.com,0.0063,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0035,0.0025,0.0020,0.0000,0.0021,0.0000,0.0034,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0017,5.0000,1.0000,
89,blogs.salon.com/0002874,0.0905,0.0027,5947.9233,720.0000,0.0019,0.0000,0.2362,0.0769,0.0544,0.0446,0.0545,0.0021,0.0000,0.0329,49.0000,0.0013,3.4142,0.2461,366.4492,0.0174,26.0000,0.0087,13.0000,0.0252,75.0000,1.0000,
